IQ-TREE multicore version 1.6.12 for Linux 64-bit built Aug 15 2019
Developed by Bui Quang Minh, Nguyen Lam Tung, Olga Chernomor,
Heiko Schmidt, Dominik Schrempf, Michael Woodhams.

Host:    solander (SSE4.2, 5 GB RAM)
Command: iqtree -s cytB_all_MAFFT.aln -o CF -m MFP -pre CF -bb 1000
Seed:    425235 (Using SPRNG - Scalable Parallel Random Number Generator)
Time:    Tue Oct 10 08:40:51 2023
Kernel:  SSE2 - 1 threads (8 CPU cores detected)

HINT: Use -nt option to specify number of threads because your CPU has 8 cores!
HINT: -nt AUTO will automatically determine the best number of threads to use.

Reading alignment file cytB_all_MAFFT.aln ... Fasta format detected
Alignment most likely contains DNA/RNA sequences
Alignment has 10 sequences with 1146 columns, 286 distinct patterns
378 parsimony-informative, 93 singleton sites, 675 constant sites
    Gap/Ambiguity  Composition  p-value
   1  CF    0.00%    passed     27.57%
   2  CA    0.52%    passed     85.20%
   3  CP    0.52%    passed      7.78%
   4  CT    0.52%    passed     17.79%
   5  RA    0.26%    passed     85.14%
   6  RB    0.26%    passed     75.35%
   7  RK    0.26%    passed     98.51%
   8  SB    0.52%    passed     75.74%
   9  SC    0.52%    passed     54.06%
  10  SS    0.52%    passed     80.79%
****  TOTAL    0.39%  0 sequences failed composition chi2 test (p-value<5%; df=3)


Create initial parsimony tree by phylogenetic likelihood library (PLL)... 0.000 seconds
NOTE: ModelFinder requires 2 MB RAM!
ModelFinder will test 286 DNA models (sample size: 1146) ...
 No. Model         -LnL         df  AIC          AICc         BIC
  1  JC            5546.970     17  11127.941    11128.483    11213.689
  2  JC+I          5383.548     18  10803.095    10803.702    10893.888
  3  JC+G4         5391.873     18  10819.746    10820.353    10910.538
  4  JC+I+G4       5390.651     19  10819.302    10819.977    10915.139
  5  JC+R2         5384.225     19  10806.451    10807.126    10902.287
  6  JC+R3         5384.037     21  10810.075    10810.897    10916.000
 14  F81+F         5429.671     20  10899.341    10900.088    11000.222
 15  F81+F+I       5241.408     21  10524.816    10525.638    10630.740
 16  F81+F+G4      5249.173     21  10540.345    10541.168    10646.270
 17  F81+F+I+G4    5248.200     22  10540.400    10541.301    10651.368
 18  F81+F+R2      5241.786     22  10527.572    10528.473    10638.540
 19  F81+F+R3      5241.636     24  10531.273    10532.343    10652.330
 27  K2P           5428.815     18  10893.629    10894.236    10984.422
 28  K2P+I         5238.534     19  10515.068    10515.743    10610.905
 29  K2P+G4        5232.677     19  10503.354    10504.029    10599.191
 30  K2P+I+G4      5232.789     20  10505.578    10506.324    10606.458
 31  K2P+R2        5233.688     20  10507.377    10508.124    10608.258
 32  K2P+R3        5233.560     22  10511.121    10512.022    10622.089
 40  HKY+F         5301.743     21  10645.487    10646.309    10751.411
 41  HKY+F+I       5056.129     22  10156.258    10157.159    10267.226
 42  HKY+F+G4      5042.751     22  10129.502    10130.404    10240.471
 43  HKY+F+I+G4    5046.787     23  10139.574    10140.558    10255.586
 44  HKY+F+R2      5037.472     23  10120.944    10121.928    10236.957
 45  HKY+F+R3      5037.259     25  10124.519    10125.679    10250.619
 53  TNe           5377.062     19  10792.125    10792.800    10887.961
 54  TNe+I         5173.924     20  10387.848    10388.595    10488.729
 55  TNe+G4        5166.230     20  10372.460    10373.207    10473.341
 56  TNe+I+G4      5166.177     21  10374.353    10375.175    10480.278
 57  TNe+R2        5162.844     21  10367.688    10368.510    10473.613
 58  TNe+R3        5162.830     23  10371.661    10372.645    10487.674
 66  TN+F          5287.246     22  10618.492    10619.393    10729.461
 67  TN+F+I        5049.311     23  10144.622    10145.606    10260.635
 68  TN+F+G4       5035.389     23  10116.779    10117.763    10232.791
 69  TN+F+I+G4     5037.283     24  10122.566    10123.636    10243.623
 70  TN+F+R2       5032.319     24  10112.638    10113.709    10233.695
 71  TN+F+R3       5032.317     26  10116.635    10117.889    10247.780
 79  K3P           5415.889     19  10869.779    10870.454    10965.615
 80  K3P+I         5224.276     20  10488.551    10489.298    10589.432
 81  K3P+G4        5223.818     20  10487.635    10488.382    10588.516
 82  K3P+I+G4      5222.811     21  10487.621    10488.443    10593.546
 83  K3P+R2        5222.322     21  10486.644    10487.466    10592.568
 84  K3P+R3        5222.318     23  10490.637    10491.621    10606.650
 92  K3Pu+F        5290.509     22  10625.018    10625.919    10735.987
 93  K3Pu+F+I      5052.277     23  10150.554    10151.538    10266.567
 94  K3Pu+F+G4     5040.756     23  10127.511    10128.495    10243.524
 95  K3Pu+F+I+G4   5043.739     24  10135.479    10136.549    10256.536
 96  K3Pu+F+R2     5037.738     24  10123.475    10124.546    10244.532
 97  K3Pu+F+R3     5037.396     26  10126.792    10128.047    10257.937
105  TPM2+F        5261.452     22  10566.905    10567.806    10677.873
106  TPM2+F+I      5050.131     23  10146.261    10147.245    10262.274
107  TPM2+F+G4     5040.164     23  10126.328    10127.312    10242.341
108  TPM2+F+I+G4   5042.075     24  10132.150    10133.220    10253.207
109  TPM2+F+R2     5036.729     24  10121.458    10122.528    10242.515
110  TPM2+F+R3     5036.627     26  10125.255    10126.510    10256.400
118  TPM2u+F       5261.451     22  10566.903    10567.804    10677.872
119  TPM2u+F+I     5050.131     23  10146.262    10147.246    10262.275
120  TPM2u+F+G4    5040.158     23  10126.316    10127.300    10242.329
121  TPM2u+F+I+G4  5042.063     24  10132.125    10133.196    10253.182
122  TPM2u+F+R2    5036.818     24  10121.637    10122.707    10242.693
123  TPM2u+F+R3    5036.602     26  10125.205    10126.459    10256.350
131  TPM3+F        5292.149     22  10628.299    10629.200    10739.268
132  TPM3+F+I      5056.077     23  10158.155    10159.139    10274.168
133  TPM3+F+G4     5042.766     23  10131.532    10132.516    10247.544
134  TPM3+F+I+G4   5046.514     24  10141.029    10142.099    10262.085
135  TPM3+F+R2     5037.237     24  10122.475    10123.545    10243.531
136  TPM3+F+R3     5036.604     26  10125.208    10126.462    10256.353
144  TPM3u+F       5292.149     22  10628.299    10629.200    10739.267
145  TPM3u+F+I     5056.081     23  10158.162    10159.146    10274.175
146  TPM3u+F+G4    5042.779     23  10131.558    10132.542    10247.570
147  TPM3u+F+I+G4  5046.454     24  10140.908    10141.978    10261.964
148  TPM3u+F+R2    5037.086     24  10122.171    10123.242    10243.228
149  TPM3u+F+R3    5036.459     26  10124.918    10126.173    10256.063
157  TIMe          5364.304     20  10768.607    10769.354    10869.488
158  TIMe+I        5161.361     21  10364.722    10365.544    10470.647
159  TIMe+G4       5156.754     21  10355.507    10356.329    10461.432
160  TIMe+I+G4     5154.081     22  10352.162    10353.064    10463.131
161  TIMe+R2       5153.095     22  10350.191    10351.092    10461.160
162  TIMe+R3       5153.066     24  10354.132    10355.203    10475.189
170  TIM+F         5276.123     23  10598.246    10599.230    10714.259
171  TIM+F+I       5045.152     24  10138.305    10139.375    10259.362
172  TIM+F+G4      5032.649     24  10113.298    10114.369    10234.355
173  TIM+F+I+G4    5032.482     25  10114.964    10116.125    10241.065
174  TIM+F+R2      5030.394     25  10110.788    10111.949    10236.889
175  TIM+F+R3      5030.363     27  10114.726    10116.078    10250.915
