CF	Caenolestes_fuliginosus	AF102816.1
CA	Cavia_aperea	NC_046949.1:14164-15303
CP	Cavia_porcellus	HM447146.1
CT	Cavia_tschudii	GU136727.1
RA	Rattus_andamanensis	NC_046686.1:14130-15272
RB	Rattus_baluensis	NC_035621.1:14134-15276
RK	Rattus_korinchi	NC_049042.1:14136-15278
SB	Sus_barbatus	NC_026992.1:15208-16347
SC	Sus_cebifrons	NC_023541.1
SS	Sus_scrofa	OR397962.1
